Gene description,Gene stable ID,Gene name,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Strand,Gene type
"novel transcript, similar to YY1 associated myogenesis RNA 1 YAM1",ENSG00000280614,,21,8393419,8394341,-1,lncRNA
"RNA, 5.8S ribosomal N3 [Source:HGNC Symbol;Acc:HGNC:53525]",ENSG00000275215,RNA5-8SN3,21,8395607,8395759,1,rRNA
TEC,ENSG00000286267,,21,8417757,8418235,1,TEC
TEC,ENSG00000286146,,21,8420675,8421003,1,TEC
TEC,ENSG00000286054,,21,8421883,8422116,1,TEC
TEC,ENSG00000286178,,21,8423760,8424071,1,TEC
novel transcript,ENSG00000303477,,21,8431461,8432306,-1,lncRNA
microRNA 6724-4 [Source:HGNC Symbol;Acc:HGNC:50830],ENSG00000275692,MIR6724-4,21,8432530,8432621,1,miRNA
,ENSG00000278775,,21,8433085,8433174,1,misc_RNA
"novel transcript, similar to YY1 associated myogenesis RNA 1 YAM1",ENSG00000281181,,21,8437629,8438551,-1,lncRNA
"RNA, 5.8S ribosomal N1 [Source:HGNC Symbol;Acc:HGNC:53517]",ENSG00000278189,RNA5-8SN1,21,8439823,8439975,1,rRNA
TEC,ENSG00000286149,,21,8462320,8462798,1,TEC
TEC,ENSG00000286032,,21,8465254,8465586,1,TEC
TEC,ENSG00000286091,,21,8466466,8466699,1,TEC
TEC,ENSG00000286148,,21,8468320,8468631,1,TEC
novel transcript,ENSG00000301596,,21,8547298,8552231,-1,lncRNA
ribosomal protein SA pseudogene 68 [Source:HGNC Symbol;Acc:HGNC:51920],ENSG00000279990,RPSAP68,21,8603547,8603984,1,processed_pseudogene
tripartite motif containing 43 (TRIM43) pseudogene,ENSG00000279615,,21,8680538,8680934,-1,processed_pseudogene
N-acetylated alpha-linked acidic dipeptidase 2 (Naalad2) pseudogene,ENSG00000279167,,21,8701461,8701562,1,processed_pseudogene
long intergenic non-protein coding RNA 1666 [Source:HGNC Symbol;Acc:HGNC:52454],ENSG00000279579,LINC01666,21,8759053,8880835,1,lncRNA
novel transcript,ENSG00000286033,,21,8762386,8836656,-1,lncRNA
sorting nexin 18 pseudogene 10 [Source:HGNC Symbol;Acc:HGNC:39618],ENSG00000279213,SNX18P10,21,8801362,8801880,-1,processed_pseudogene
novel transcript,ENSG00000306153,,21,8839454,8859114,-1,lncRNA
MT-CO1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:7420],ENSG00000280243,MTCO1P1,21,8845566,8846646,1,processed_pseudogene
"ankyrin repeat domain 20 family, member A3 (ANKRD20A3) pseudogene",ENSG00000278931,,21,8857260,8880976,1,transcribed_unprocessed_pseudogene
microRNA 3648-2 [Source:HGNC Symbol;Acc:HGNC:50843],ENSG00000264462,MIR3648-2,21,8986999,8987178,1,miRNA
,ENSG00000264063,,21,8987370,8987430,1,miRNA
tektin 4 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:40046],ENSG00000291050,TEKT4P2,21,8995098,9129773,-1,lncRNA
novel transcript,ENSG00000279501,,21,8996496,9018670,-1,lncRNA
novel transcript,ENSG00000293623,,21,9026613,9043126,-1,lncRNA
CDRT15 pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:54917],ENSG00000279414,CDRT15P9,21,9026821,9027329,-1,transcribed_processed_pseudogene
novel transcript,ENSG00000304224,,21,9045472,9072193,1,lncRNA
asparagine synthetase (glutamine-hydrolyzing) (ASNS) pseudogene,ENSG00000280436,,21,9053122,9059060,1,transcribed_unprocessed_pseudogene
tektin 4 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:40046],ENSG00000188681,TEKT4P2,21,9068414,9073609,-1,transcribed_unprocessed_pseudogene
SOWAHC pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:54506],ENSG00000279720,SOWAHCP2,21,9082601,9083101,-1,processed_pseudogene
"ankyrin repeat domain 20 family, member A2 (ANKRD20A2) pseudogene",ENSG00000279381,,21,9088188,9088391,1,processed_pseudogene
novel transcript,ENSG00000295673,,21,9160575,9171493,1,lncRNA
novel transcript,ENSG00000310022,,21,9283347,9325675,-1,lncRNA
novel transcript,ENSG00000278932,,21,9325011,9372879,1,lncRNA
novel transcript,ENSG00000310045,,21,9326885,9339873,-1,lncRNA
sorting nexin 18 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:39620],ENSG00000279718,SNX18P12,21,9364467,9365225,-1,processed_pseudogene
novel transcript,ENSG00000310061,,21,9368587,9376634,-1,lncRNA
ankyrin repeat domain 18A (ANKRD18A) pseudogene,ENSG00000279208,,21,9369285,9376645,-1,transcribed_unprocessed_pseudogene
novel transcript,ENSG00000293062,,21,9529928,9679906,1,lncRNA
NCOR1 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:54557],ENSG00000279864,NCOR1P4,21,9548885,9559155,1,transcribed_unprocessed_pseudogene
novel transcript,ENSG00000309615,,21,9579335,9592815,-1,lncRNA
"family with sequence similarity 182, member B (FAM182B) pseudogene",ENSG00000279211,,21,9580024,9580415,-1,transcribed_processed_pseudogene
novel transcript,ENSG00000309577,,21,9614019,9681769,1,lncRNA
U1 spliceosomal RNA [Source:RFAM;Acc:RF00003],ENSG00000275631,U1,21,9646825,9647000,1,snRNA
novel transcript,ENSG00000301428,,21,9757217,9758365,1,lncRNA
novel transcript,ENSG00000296512,,21,9764229,9767339,-1,lncRNA
long intergenic non-protein coding RNA 1667 [Source:NCBI gene (formerly Entrezgene);Acc:441058],ENSG00000293035,LINC01667,21,9781848,9839362,-1,lncRNA
long intergenic non-protein coding RNA 1667 [Source:HGNC Symbol;Acc:HGNC:52455],ENSG00000280081,LINC01667,21,9810381,9810503,-1,transcribed_processed_pseudogene
"family with sequence similarity 27, member D1 ( FAM27D1) pseudogene",ENSG00000279783,,21,9810501,9810848,1,processed_pseudogene
"RNA, 7SL, cytoplasmic 52, pseudogene [Source:HGNC Symbol;Acc:HGNC:46068]",ENSG00000264002,RN7SL52P,21,9902344,9902627,-1,misc_RNA
Small nucleolar RNA SNORA70 [Source:RFAM;Acc:RF00156],ENSG00000252199,SNORA70,21,9907916,9908010,1,snoRNA
novel transcript,ENSG00000279321,,21,9913117,9914846,1,lncRNA
novel transcript,ENSG00000293037,,21,9966972,10119523,-1,lncRNA
ribosomal protein L7a (RPL7A) pseudogene,ENSG00000270533,,21,9997487,9998033,-1,transcribed_processed_pseudogene
TEC,ENSG00000280372,,21,10028361,10029855,-1,TEC
novel transcript,ENSG00000279851,,21,10119290,10137213,1,lncRNA
CDRT15 pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:54916],ENSG00000279062,CDRT15P8,21,10136419,10137004,1,transcribed_unprocessed_pseudogene
novel transcript,ENSG00000277693,,21,10327672,10342757,-1,lncRNA
eukaryotic translation initiation factor 3 subunit F pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:3276],ENSG00000275945,EIF3FP1,21,10330732,10331537,1,processed_pseudogene
novel transcript,ENSG00000307116,,21,10332056,10333459,1,lncRNA
vomeronasal 1 receptor 7 pseudogene [Source:HGNC Symbol;Acc:HGNC:8496],ENSG00000275592,VN1R7P,21,10357400,10358620,1,processed_pseudogene
novel transcript,ENSG00000297483,,21,10362949,10363634,1,lncRNA
novel transcript,ENSG00000293834,,21,10371968,10381763,-1,lncRNA
"tubulin tyrosine ligase-like family, member 1 (TTLL1) pseudogene",ENSG00000278106,,21,10397644,10397778,1,unprocessed_pseudogene
novel transcript,ENSG00000290523,,21,10413467,10500916,1,lncRNA
BAGE family member 2 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:15723],ENSG00000187172,BAGE2,21,10454134,10516431,1,transcribed_unprocessed_pseudogene
novel transcript,ENSG00000273840,,21,10482738,10605716,1,lncRNA
transmembrane phosphatase with tensin homology [Source:HGNC Symbol;Acc:HGNC:12023],ENSG00000274391,TPTE,21,10521553,10606140,1,protein_coding
CYCS pseudogene 41 [Source:HGNC Symbol;Acc:HGNC:2580],ENSG00000278678,CYCSP41,21,10576292,10576587,1,processed_pseudogene
solute carrier family 25 member 15 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:39845],ENSG00000273872,SLC25A15P4,21,10612455,10613379,-1,unprocessed_pseudogene
pseudogene similar to part of immunoglobulin heavy constant mu (IGHM),ENSG00000276556,,21,10640028,10640338,-1,unprocessed_pseudogene
immunoglobulin heavy variable 1/OR21-1 (non-functional) [Source:HGNC Symbol;Acc:HGNC:38040],ENSG00000277282,IGHV1OR21-1,21,10649400,10649835,-1,IG_V_gene
novel transcript,ENSG00000229306,,21,12999676,13016692,-1,lncRNA
novel transcript,ENSG00000309886,,21,13026200,13029493,-1,lncRNA
novel transcript,ENSG00000290568,,21,13037971,13052435,1,lncRNA
ankyrin repeat domain 30B pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:16620],ENSG00000224309,ANKRD30BP2,21,13038208,13067033,1,transcribed_unprocessed_pseudogene
"RNA, U6 small nuclear 614, pseudogene [Source:HGNC Symbol;Acc:HGNC:47577]",ENSG00000207097,RNU6-614P,21,13047583,13047689,1,snRNA
"zinc finger protein 355, pseudogene [Source:HGNC Symbol;Acc:HGNC:17218]",ENSG00000168122,ZNF355P,21,13095305,13113790,-1,unprocessed_pseudogene
BNIP3 pseudogene 43 [Source:HGNC Symbol;Acc:HGNC:56379],ENSG00000237202,BNIP3P43,21,13120244,13120807,1,processed_pseudogene
novel transcript,ENSG00000298605,,21,13167143,13179089,1,lncRNA
novel transcript,ENSG00000297036,,21,13190742,13205547,-1,lncRNA
novel transcript,ENSG00000280108,,21,13305152,13314944,1,lncRNA
novel transcript,ENSG00000294575,,21,13337482,13351638,1,lncRNA
fibroblast growth factor 7 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:17193],ENSG00000185390,FGF7P2,21,13349265,13350648,1,transcribed_unprocessed_pseudogene
ankyrin repeat domain 30B pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:19722],ENSG00000175302,ANKRD30BP1,21,13384249,13427773,-1,unprocessed_pseudogene
microRNA 3156-3 [Source:HGNC Symbol;Acc:HGNC:38229],ENSG00000266211,MIR3156-3,21,13406384,13406460,-1,miRNA
general transcription factor IIi pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:16082],ENSG00000226930,GTF2IP2,21,13443373,13489176,-1,unprocessed_pseudogene
vomeronasal 1 receptor 8 pseudogene [Source:HGNC Symbol;Acc:HGNC:8497],ENSG00000219280,VN1R8P,21,13476371,13477263,1,processed_pseudogene
long intergenic non-protein coding RNA 1674 [Source:HGNC Symbol;Acc:HGNC:52462],ENSG00000228159,LINC01674,21,13516102,13598187,1,lncRNA
sorting nexin 19 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16765],ENSG00000228184,SNX19P1,21,13525599,13528579,1,processed_pseudogene
olfactory receptor family 4 subfamily K member 11 pseudogene [Source:HGNC Symbol;Acc:HGNC:15402],ENSG00000179381,OR4K11P,21,13544210,13545185,-1,unprocessed_pseudogene
olfactory receptor family 4 subfamily K member 12 pseudogene [Source:HGNC Symbol;Acc:HGNC:15403],ENSG00000218549,OR4K12P,21,13581060,13582004,-1,unprocessed_pseudogene
POTE ankyrin domain family member D [Source:HGNC Symbol;Acc:HGNC:23822],ENSG00000166351,POTED,21,13609777,13645823,1,protein_coding
"RNA, U6 small nuclear 286, pseudogene [Source:HGNC Symbol;Acc:HGNC:47249]",ENSG00000207476,RNU6-286P,21,13621577,13621683,1,snRNA
microRNA 3118-1 [Source:HGNC Symbol;Acc:HGNC:38265],ENSG00000266299,MIR3118-1,21,13644775,13644850,-1,miRNA
novel pseudogene,ENSG00000278381,,21,13654073,13654356,1,processed_pseudogene
GRAM domain containing 4 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39653],ENSG00000227874,GRAMD4P1,21,13665868,13667546,-1,processed_pseudogene
CXADR pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23770],ENSG00000214319,CXADRP1,21,13676022,13677116,1,processed_pseudogene
TEC,ENSG00000279773,,21,13679300,13681138,-1,TEC
LONRF2 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:54501],ENSG00000273692,LONRF2P5,21,13704853,13705518,1,processed_pseudogene
novel transcript,ENSG00000299540,,21,13723464,13752941,1,lncRNA
microRNA 8069 [Source:HGNC Symbol;Acc:HGNC:50836],ENSG00000278618,MIR8069,21,13724189,13724274,1,miRNA
fem-1 homolog A pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:17219],ENSG00000229231,FEM1AP1,21,13762338,13764332,1,processed_pseudogene
novel transcript,ENSG00000224922,,21,13769932,13771740,1,lncRNA
TERF1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16733],ENSG00000173231,TERF1P1,21,13776086,13777266,1,processed_pseudogene
"family with sequence similarity 207 member C, pseudogene [Source:HGNC Symbol;Acc:HGNC:42676]",ENSG00000232797,FAM207CP,21,13792635,13793141,1,processed_pseudogene
GXYLT1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:39677],ENSG00000224860,GXYLT1P2,21,13824406,13825635,-1,processed_pseudogene
calponin 2 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:39532],ENSG00000215562,CNN2P7,21,13826696,13827627,1,processed_pseudogene
zinc finger protein 114 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23771],ENSG00000234538,ZNF114P1,21,13839118,13839409,1,processed_pseudogene
"cytochrome P450 family 4 subfamily F member 29, pseudogene [Source:NCBI gene (formerly Entrezgene);Acc:54055]",ENSG00000290541,CYP4F29P,21,13843132,13897298,-1,lncRNA
"cytochrome P450 family 4 subfamily F member 29, pseudogene [Source:HGNC Symbol;Acc:HGNC:2647]",ENSG00000228314,CYP4F29P,21,13846759,13847713,-1,transcribed_unprocessed_pseudogene
sorting nexin 18 pseudogene 13 [Source:HGNC Symbol;Acc:HGNC:39621],ENSG00000230965,SNX18P13,21,13905960,13906488,-1,processed_pseudogene
novel transcript,ENSG00000290581,,21,13909574,13935655,-1,lncRNA
"ankyrin repeat domain 20 family member A11, pseudogene [Source:HGNC Symbol;Acc:HGNC:42024]",ENSG00000215559,ANKRD20A11P,21,13909574,13979911,-1,transcribed_unprocessed_pseudogene
ras homolog family member T1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:37838],ENSG00000203616,RHOT1P2,21,13936993,13937325,-1,processed_pseudogene
novel transcript,ENSG00000291280,,21,13937938,13981899,-1,lncRNA
"RNA, U6 small nuclear 954, pseudogene [Source:HGNC Symbol;Acc:HGNC:47917]",ENSG00000223287,RNU6-954P,21,13968489,13968595,-1,snRNA
neurofibromin 1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:7766],ENSG00000183249,NF1P3,21,14000927,14005279,1,unprocessed_pseudogene
protein phosphatase 6 regulatory subunit 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39605],ENSG00000233442,PPP6R2P1,21,14007134,14014880,1,unprocessed_pseudogene
"FSHD region gene 2 family member M, pseudogene [Source:HGNC Symbol;Acc:HGNC:51799]",ENSG00000275170,FRG2MP,21,14019060,14020725,-1,processed_pseudogene
"novel transcript, antisense to LIPI",ENSG00000224905,,21,14027363,14175307,1,lncRNA
novel transcript,ENSG00000300210,,21,14033241,14062156,-1,lncRNA
"ankyrin repeat domain 20 family member A18, pseudogene [Source:HGNC Symbol;Acc:HGNC:23756]",ENSG00000249493,ANKRD20A18P,21,14064325,14069087,1,transcribed_unprocessed_pseudogene
"RNA, 5S ribosomal pseudogene 488 [Source:HGNC Symbol;Acc:HGNC:43388]",ENSG00000201812,RNA5SP488,21,14070871,14070986,1,rRNA_pseudogene
,ENSG00000277572,,21,14075950,14076038,-1,misc_RNA
lipase I [Source:HGNC Symbol;Acc:HGNC:18821],ENSG00000188992,LIPI,21,14108813,14210955,-1,protein_coding
endoplasmic reticulum lectin 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:38012],ENSG00000240755,ERLEC1P1,21,14143581,14144158,1,transcribed_processed_pseudogene
RNA binding motif protein 11 [Source:HGNC Symbol;Acc:HGNC:9897],ENSG00000185272,RBM11,21,14216130,14228372,1,protein_coding
ATP binding cassette subfamily C member 13 (pseudogene) [Source:NCBI gene (formerly Entrezgene);Acc:150000],ENSG00000291052,ABCC13,21,14236206,14338017,1,lncRNA
ATP binding cassette subfamily C member 13 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:16022],ENSG00000243064,ABCC13,21,14274092,14362754,1,transcribed_unprocessed_pseudogene
novel transcript,ENSG00000307579,,21,14308631,14327403,-1,lncRNA
heat shock protein family A (Hsp70) member 13 [Source:HGNC Symbol;Acc:HGNC:11375],ENSG00000155304,HSPA13,21,14371115,14383484,-1,protein_coding
"novel transcript, antisense to HSPA13",ENSG00000296939,,21,14382712,14393745,1,lncRNA
"SAM domain, SH3 domain and nuclear localization signals 1 [Source:HGNC Symbol;Acc:HGNC:10528]",ENSG00000155307,SAMSN1,21,14485228,14658821,-1,protein_coding
SAMSN1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39599],ENSG00000223662,SAMSN1-AS1,21,14582202,14612700,1,lncRNA
novel transcript,ENSG00000232884,,21,14676685,14763590,-1,lncRNA
RNA polymerase II subunit C pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:9190],ENSG00000228600,POLR2CP1,21,14757588,14758352,1,processed_pseudogene
glyceraldehyde-3-phosphate dehydrogenase pseudogene 16 [Source:HGNC Symbol;Acc:HGNC:23768],ENSG00000225502,GAPDHP16,21,14774301,14775262,1,processed_pseudogene
adipocyte associated metabolic related lncRNA 1 [Source:HGNC Symbol;Acc:HGNC:53135],ENSG00000281903,ASMER1,21,14816838,15064771,-1,lncRNA
RBMX2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39923],ENSG00000226406,RBMX2P1,21,14829154,14829989,-1,processed_pseudogene
novel transcript,ENSG00000303435,,21,14864538,14885446,1,lncRNA
novel transcript,ENSG00000235277,,21,14901797,14947383,1,lncRNA
nuclear receptor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:8001],ENSG00000180530,NRIP1,21,14961235,15065936,-1,protein_coding
novel transcript,ENSG00000229047,,21,14961309,14964233,1,lncRNA
novel transcript,ENSG00000231201,,21,14971470,14992854,1,lncRNA
TEC,ENSG00000279390,,21,15050189,15052379,1,TEC
"novel transcript, antisense to NRIP1",ENSG00000303483,,21,15059638,15063466,1,lncRNA
long intergenic non-protein coding RNA 2920 [Source:HGNC Symbol;Acc:HGNC:55660],ENSG00000236471,LINC02920,21,15067070,15067837,1,lncRNA
novel transcript,ENSG00000288536,,21,15101543,15138700,-1,lncRNA
novel transcript,ENSG00000303916,,21,15136567,15190513,1,lncRNA
novel transcript,ENSG00000288555,,21,15190406,15224479,-1,lncRNA
novel transcript,ENSG00000300143,,21,15220205,15315422,1,lncRNA
novel transcript,ENSG00000288578,,21,15263396,15301858,-1,lncRNA
TEC,ENSG00000280082,,21,15346652,15346738,1,TEC
novel transcript,ENSG00000309180,,21,15352078,15354216,1,lncRNA
novel transcript,ENSG00000229425,,21,15368955,15627367,-1,lncRNA
novel transcript,ENSG00000307781,,21,15433313,15446882,1,lncRNA
